MembershipID,UserID,OrgID,Status,DateApplied,DateApproved
1,1,1,Approved,2024-01-05,2024-01-10
2,2,2,Approved,2024-01-07,2024-01-12
3,3,1,Approved,2024-01-08,2024-01-15
4,4,3,Approved,2024-02-01,2024-02-05
5,5,4,Approved,2024-02-02,2024-02-07
6,6,5,Approved,2024-02-05,2024-02-10
7,7,1,Approved,2024-02-09,2024-02-14
8,8,2,Approved,2024-02-10,2024-02-15
9,9,3,Approved,2024-02-11,2024-02-16
10,10,4,Approved,2024-02-12,2024-02-17
11,11,6,Approved,2024-02-15,2024-02-20
12,12,4,Approved,2024-02-16,2024-02-21
13,13,7,Approved,2024-02-18,2024-02-23
14,14,3,Approved,2024-02-19,2024-02-24
15,15,7,Approved,2024-02-20,2024-02-25
16,16,6,Approved,2024-02-21,2024-02-26
17,17,1,Approved,2024-02-22,2024-02-27
18,18,4,Approved,2024-02-23,2024-02-28
19,19,3,Approved,2024-02-24,2024-02-29
20,20,2,Approved,2024-02-25,2024-03-01
21,21,3,Approved,2024-02-26,2024-03-02
22,22,4,Approved,2024-02-27,2024-03-03
23,23,7,Approved,2024-02-28,2024-03-04
24,24,6,Approved,2024-03-02,2024-03-06
25,25,7,Approved,2024-03-03,2024-03-07
26,26,1,Approved,2024-03-04,2024-03-08
27,27,2,Approved,2024-03-05,2024-03-09
28,28,4,Approved,2024-03-06,2024-03-10
29,29,5,Approved,2024-03-07,2024-03-11
30,30,4,Approved,2024-03-08,2024-03-12
31,31,6,Approved,2024-03-09,2024-03-13
32,32,4,Approved,2024-03-10,2024-03-14
33,33,7,Approved,2024-03-11,2024-03-15
34,34,3,Approved,2024-03-12,2024-03-16
35,35,2,Approved,2024-03-13,2024-03-17
36,36,1,Approved,2024-03-14,2024-03-18
37,37,4,Approved,2024-03-15,2024-03-19
38,38,3,Approved,2024-03-16,2024-03-20
39,39,7,Approved,2024-03-17,2024-03-21
40,40,6,Approved,2024-03-18,2024-03-22
41,41,4,Approved,2024-03-19,2024-03-23
42,42,3,Approved,2024-03-20,2024-03-24
43,43,7,Approved,2024-03-21,2024-03-25
44,44,6,Approved,2024-03-22,2024-03-26
45,45,1,Approved,2024-03-23,2024-03-27
46,46,2,Approved,2024-03-24,2024-03-28
47,47,4,Approved,2024-03-25,2024-03-29
48,48,3,Approved,2024-03-26,2024-03-30
49,49,7,Approved,2024-03-27,2024-03-31
50,50,6,Approved,2024-03-28,2024-04-01
