OfficerRoleID,MembershipID,RoleName,RoleStart,RoleEnd
500,1,Member,2024-01-15,2025-01-15
501,2,Member,2024-01-20,2025-01-20
502,3,Treasurer,2024-01-20,2025-01-20
503,4,Member,2024-02-10,2025-02-10
504,5,President,2024-02-15,2025-02-15
505,6,Member,2024-03-01,2025-03-01
506,7,Secretary,2024-02-20,2025-02-20
507,8,President,2024-02-20,2025-02-20
508,9,Member,2024-02-20,2025-02-20
509,10,Secretary,2024-02-25,2025-02-25
510,11,Editor,2024-02-25,2025-02-25
511,12,Treasurer,2024-02-25,2025-02-25
512,13,Member,2024-02-28,2025-02-28
513,14,Member,2024-03-01,2025-03-01
514,15,Member,2024-03-01,2025-03-01
515,16,Editor,2024-03-05,2025-03-05
516,17,Member,2024-02-25,2025-02-25
517,18,Vice President,2024-02-28,2025-02-28
518,19,Treasurer,2024-03-01,2025-03-01
519,20,Member,2024-02-28,2025-02-28
520,21,President,2024-03-05,2025-03-05
521,22,Treasurer,2024-03-01,2025-03-01
522,23,Coach,2024-03-05,2025-03-05
523,24,Editor,2024-03-10,2025-03-10
524,25,Member,2024-03-10,2025-03-10
525,26,Secretary,2024-03-12,2025-03-12
526,27,Member,2024-03-15,2025-03-15
527,28,President,2024-03-15,2025-03-15
528,29,Member,2024-03-15,2025-03-15
529,30,Member,2024-03-18,2025-03-18
530,31,Editor,2024-03-18,2025-03-18
531,32,Member,2024-03-20,2025-03-20
532,33,Member,2024-03-25,2025-03-25
533,34,President,2024-03-25,2025-03-25
534,35,Member,2024-03-28,2025-03-28
535,36,Secretary,2024-03-30,2025-03-30
536,37,Member,2024-04-01,2025-04-01
537,38,Member,2024-04-02,2025-04-02
538,39,Coach,2024-04-05,2025-04-05
539,40,Editor,2024-04-06,2025-04-06
540,41,Vice President,2024-04-08,2025-04-08
541,42,Secretary,2024-04-09,2025-04-09
542,43,Member,2024-04-10,2025-04-10
543,44,Editor,2024-04-12,2025-04-12
544,45,Member,2024-04-15,2025-04-15
545,46,President,2024-04-18,2025-04-18
546,47,Secretary,2024-04-20,2025-04-20
547,48,Vice President,2024-04-22,2025-04-22
548,49,Coach,2024-04-25,2025-04-25
549,50,Member,2024-04-28,2025-04-28
